"main_theme","question","questions_paraphrase","answer","answer_summary","intent","answers_merged","questions_merged"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Зачем нужны ПТЭ?","['Расскажи про ПТЭ.', 'Что такое правила технической эксплуатации железных дорог?', 'Что содержится в ПТЭ ЖД?']","Правила технической эксплуатации железных дорог Российской Федерации устанавливают систему организации движения поездов, требования к технической эксплуатации сооружений и устройств инфраструктуры железнодорожного транспорта общего пользования, железнодорожных путей необщего пользования, железнодорожного подвижного состава и определяют обязанности работников железнодорожного транспорта общего и необщего пользования.","В правилах технической эксплуатации железных дорог описаны система организации движения поездов, требования технической эксплуатации и обязанности работников железнодорожного транспорта.","1","['Правила технической эксплуатации железных дорог Российской Федерации устанавливают систему организации движения поездов, требования к технической эксплуатации сооружений и устройств инфраструктуры железнодорожного транспорта общего пользования, железнодорожных путей необщего пользования, железнодорожного подвижного состава и определяют обязанности работников железнодорожного транспорта общего и необщего пользования.', 'В правилах технической эксплуатации железных дорог описаны система организации движения поездов, требования технической эксплуатации и обязанности работников железнодорожного транспорта.']","['Зачем нужны ПТЭ?', 'Расскажи про ПТЭ.', 'Что такое правила технической эксплуатации железных дорог?', 'Что содержится в ПТЭ ЖД?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Кто должен выполнять правила технической эксплуатации?","['Для кого ПТЭ являются обязательными?', 'Для кого устанавливаются правила технической эксплуатации?']","Правила и приложения к ним обязательны для выполнения всеми организациями и индивидуальными предпринимателями, выполняющими работы (оказывающие услуги) для пользователей услугами железнодорожного транспорта, связанные с организацией и (или) осуществлением перевозочного процесса, работы (услуги), связанные с техническим обслуживанием и ремонтом железнодорожных путей, сооружений и устройств инфраструктуры, железнодорожных путей необщего пользования и находящихся на них сооружений и устройств, железнодорожного подвижного состава и технических средств, используемых на железнодорожном транспорте, охраной объектов железнодорожного транспорта и грузов, и работниками железнодорожного транспорта.","Правила должны выполняться всеми организациями, выполняющими работы или оказывающими услуги для пользователей услугами железнодорожного транспорта.","2","['Правила и приложения к ним обязательны для выполнения всеми организациями и индивидуальными предпринимателями, выполняющими работы (оказывающие услуги) для пользователей услугами железнодорожного транспорта, связанные с организацией и (или) осуществлением перевозочного процесса, работы (услуги), связанные с техническим обслуживанием и ремонтом железнодорожных путей, сооружений и устройств инфраструктуры, железнодорожных путей необщего пользования и находящихся на них сооружений и устройств, железнодорожного подвижного состава и технических средств, используемых на железнодорожном транспорте, охраной объектов железнодорожного транспорта и грузов, и работниками железнодорожного транспорта.', 'Правила должны выполняться всеми организациями, выполняющими работы или оказывающими услуги для пользователей услугами железнодорожного транспорта.']","['Кто должен выполнять правила технической эксплуатации?', 'Для кого ПТЭ являются обязательными?', 'Для кого устанавливаются правила технической эксплуатации?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Где найти информацию о требованиях к видимым сигналам?","['Где найти требования к звуковым сигналам?', 'Подскажи, где посмотреть требования к видимым и звуковым сигналам?', 'В какой инструкции написаны требования к видимым и звуковым сигналам?', 'Где можно посмотреть типы сигнальных приборов?']","Требования к видимым и звуковым сигналам для обеспечения безотказной и безопасной работы железнодорожного транспорта, типы сигнальных приборов для передачи сигналов на железнодорожном транспорте приведены в Инструкции по сигнализации на железнодорожном транспорте Российской Федерации, содержащейся в приложении номер 1 к Правилам.","Требования к видимым и звуковым сигналам, а также типы сигнальных приборов приведены в Инструкции по сигнализации на железнодорожном транспорте Российской Федерации, содержащейся в приложении номер 1 к ПТЭ.","3","['Требования к видимым и звуковым сигналам для обеспечения безотказной и безопасной работы железнодорожного транспорта, типы сигнальных приборов для передачи сигналов на железнодорожном транспорте приведены в Инструкции по сигнализации на железнодорожном транспорте Российской Федерации, содержащейся в приложении номер 1 к Правилам.', 'Требования к видимым и звуковым сигналам, а также типы сигнальных приборов приведены в Инструкции по сигнализации на железнодорожном транспорте Российской Федерации, содержащейся в приложении номер 1 к ПТЭ.']","['Где найти информацию о требованиях к видимым сигналам?', 'Где найти требования к звуковым сигналам?', 'Подскажи, где посмотреть требования к видимым и звуковым сигналам?', 'В какой инструкции написаны требования к видимым и звуковым сигналам?', 'Где можно посмотреть типы сигнальных приборов?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Где найти правила приема и отправления поездов?","['Где посмотреть правила закрепления подвижного состава?', 'Где можно найти правила пропуска поездов?', 'Подскажи, где описан порядок назначения поездов?', 'В какой иструкции описывается порядок выполнения маневровой работы?']","Правила приёма, отправления и пропуска поездов, выполнения маневровой работы и закрепления железнодорожного подвижного состава, правила приёма и отправления поездов в условиях выполнения ремонтно-строительных работ, порядок назначения поездов и выполнения поездной и маневровой работы, приведены в Инструкции по организации движения поездов и маневровой работы на железнодорожном транспорте Российской Федерации, содержащейся в приложении номер 2 к Правилам.","Правила приёма, отправления и пропуска поездов, выполнения маневровой работы, закрепления состава, порядок назначения поездов приведены в Инструкции по организации движения поездов и маневровой работы на железнодорожном транспорте Российской Федерации в приложении номер 2 к Правилам.","4","['Правила приёма, отправления и пропуска поездов, выполнения маневровой работы и закрепления железнодорожного подвижного состава, правила приёма и отправления поездов в условиях выполнения ремонтно-строительных работ, порядок назначения поездов и выполнения поездной и маневровой работы, приведены в Инструкции по организации движения поездов и маневровой работы на железнодорожном транспорте Российской Федерации, содержащейся в приложении номер 2 к Правилам.', 'Правила приёма, отправления и пропуска поездов, выполнения маневровой работы, закрепления состава, порядок назначения поездов приведены в Инструкции по организации движения поездов и маневровой работы на железнодорожном транспорте Российской Федерации в приложении номер 2 к Правилам.']","['Где найти правила приема и отправления поездов?', 'Где посмотреть правила закрепления подвижного состава?', 'Где можно найти правила пропуска поездов?', 'Подскажи, где описан порядок назначения поездов?', 'В какой иструкции описывается порядок выполнения маневровой работы?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Какие обязанности у работников ЖД транспорта?","['Расскажи про обязанности работников на железной дороге.', 'Обязанности работников ЖД.']","Работники железнодорожного транспорта в соответствии со своими должностными обязанностями должны обеспечивать выполнение Правил технической эксплуатации и приложений к ним, безопасность движения и эксплуатации железнодорожного транспорта.","Работники должны обеспечивать выполнение ПТЭ и приложений к ним, безопасность движения и эксплуатации железнодорожного транспорта.","5","['Работники железнодорожного транспорта в соответствии со своими должностными обязанностями должны обеспечивать выполнение Правил технической эксплуатации и приложений к ним, безопасность движения и эксплуатации железнодорожного транспорта.', 'Работники должны обеспечивать выполнение ПТЭ и приложений к ним, безопасность движения и эксплуатации железнодорожного транспорта.']","['Какие обязанности у работников ЖД транспорта?', 'Расскажи про обязанности работников на железной дороге.', 'Обязанности работников ЖД.']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Кто следит за соблюдением ПТЭ?","['Кем обеспечивается соблюдение правил технической эксплуатации?', 'Кто контролирует соблюдение ПТЭ?']","Соблюдение требований Правил работниками железнодорожного транспорта обеспечивается организациями железнодорожного транспорта и индивидуальными предпринимателями, выполняющими функции работодателя по отношению к указанным работникам.","Соблюдение ПТЭ обеспечивается работодателями.","5","['Соблюдение требований Правил работниками железнодорожного транспорта обеспечивается организациями железнодорожного транспорта и индивидуальными предпринимателями, выполняющими функции работодателя по отношению к указанным работникам.', 'Соблюдение ПТЭ обеспечивается работодателями.']","['Кто следит за соблюдением ПТЭ?', 'Кем обеспечивается соблюдение правил технической эксплуатации?', 'Кто контролирует соблюдение ПТЭ?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","На ком ответственность за содержание путей?","['Кто ответственный за исправность жд путей?', 'Кто отвечает за исправность железнорожного транспорта?']","Ответственными за содержание и (или) исправное техническое состояние железнодорожных путей, сооружений и устройств железнодорожного транспорта с обеспечением периодичности выполнения ремонтов, установленных нормативной технической документацией, являются работники железнодорожного транспорта,  непосредственно их обслуживающие.","Ответственными являются работники железнодорожного транспорта.","6","['Ответственными за содержание и (или) исправное техническое состояние железнодорожных путей, сооружений и устройств железнодорожного транспорта с обеспечением периодичности выполнения ремонтов, установленных нормативной технической документацией, являются работники железнодорожного транспорта,  непосредственно их обслуживающие.', 'Ответственными являются работники железнодорожного транспорта.']","['На ком ответственность за содержание путей?', 'Кто ответственный за исправность жд путей?', 'Кто отвечает за исправность железнорожного транспорта?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Что необходимо сообщать руководителю?","['О каких ситуциях нужно сразу оповещать руководителя?']","Работники железнодорожного транспорта обязаны незамедлительно оповещать любыми доступными средствами связи руководителя о ситуациях, представляющих угрозу жизни и здоровью людей, сохранности имущества работодателя.","Работники должны оповещать руководителя оситуациях, угрожающих жизни и здоровью людей и сохранности имущества работадателя.","7","['Работники железнодорожного транспорта обязаны незамедлительно оповещать любыми доступными средствами связи руководителя о ситуациях, представляющих угрозу жизни и здоровью людей, сохранности имущества работодателя.', 'Работники должны оповещать руководителя оситуациях, угрожающих жизни и здоровью людей и сохранности имущества работадателя.']","['Что необходимо сообщать руководителю?', 'О каких ситуциях нужно сразу оповещать руководителя?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Что делать при обнаружении неисправностей?","['Что предпринять, если на поезде отсутствуют поездные сигналы?', 'Как действовать при обнаружении серьезных неисправностей?']","В случаях обнаружения неисправностей, угрожающих жизни и здоровью людей или безопасности движения, а также при проследовании поезда без установленных в приложении номер 1 к Правилам поездных сигналов, работники железнодорожного транспорта, обнаружившие такую неисправность или отсутствие установленных в приложении номер 1 к Правилам поездных сигналов, обязаны подавать сигнал остановки поезду, маневрирующему составу или отдельно идущему локомотиву в соответствии с приложением номер 1 к Правилам, принимать незамедлительные меры к его остановке, устранению неисправности и (или) к ограждению опасного места в соответствии с приложением номер 1 к Правилам и  (или) сообщить дежурному по ближайшей железнодорожной станции.","При обнаружении неисправностей, угрожающих безопасности движения, или при проследовании поезда без поездных сигналов необходимо подать сигнал остановки поезду и принять меры по его остановки и устранению неисправности и сообщить держуному по ближайшей станции.","8","['В случаях обнаружения неисправностей, угрожающих жизни и здоровью людей или безопасности движения, а также при проследовании поезда без установленных в приложении номер 1 к Правилам поездных сигналов, работники железнодорожного транспорта, обнаружившие такую неисправность или отсутствие установленных в приложении номер 1 к Правилам поездных сигналов, обязаны подавать сигнал остановки поезду, маневрирующему составу или отдельно идущему локомотиву в соответствии с приложением номер 1 к Правилам, принимать незамедлительные меры к его остановке, устранению неисправности и (или) к ограждению опасного места в соответствии с приложением номер 1 к Правилам и  (или) сообщить дежурному по ближайшей железнодорожной станции.', 'При обнаружении неисправностей, угрожающих безопасности движения, или при проследовании поезда без поездных сигналов необходимо подать сигнал остановки поезду и принять меры по его остановки и устранению неисправности и сообщить держуному по ближайшей станции.']","['Что делать при обнаружении неисправностей?', 'Что предпринять, если на поезде отсутствуют поездные сигналы?', 'Как действовать при обнаружении серьезных неисправностей?']"
"ПРАВИЛА
ТЕХНИЧЕСКОЙ ЭКСПЛУАТАЦИИ ЖЕЛЕЗНЫХ ДОРОГ РОССИЙСКОЙ ФЕДЕРАЦИИ","Кому разрешен доступ на локомотивы?","['Кто имеет доступ к устройствам, связанным с безопасностью?', 'Кому разрешено находиться в помещениях для управления сигналами и устройствами безопасности?', 'Кому разрешен доступ на важные объекты?', 'Кто имеет доступ в кабины управления состава? ']","Доступ на локомотивы, в кабины управления мотор-вагонного подвижного состава, к специальному самоходному подвижному составу, к сигналам, железнодорожным стрелкам, аппаратам, механизмам и другим устройствам, связанным с обеспечением безопасности движения и эксплуатации железнодорожного транспорта, в помещения, из которых производится управление сигналами и указанными устройствами, имеют работники железнодорожного транспорта, в случае, если нахождение работников железнодорожного транспорта на указанных объектах предусмотрено их должностными обязанностями. Запрещается доступ посторонних лиц на указанные в настоящем пункте объекты.","Доступ на локомотивы, в кабины управления подвижного состава, к устройствам безопасности, в помещения для управления этим устройствами имеют работники железнодорожного транспорта, если это предусмотрено должностными обязанностями. Доступ посторонних лиц запрещен.","9","['Доступ на локомотивы, в кабины управления мотор-вагонного подвижного состава, к специальному самоходному подвижному составу, к сигналам, железнодорожным стрелкам, аппаратам, механизмам и другим устройствам, связанным с обеспечением безопасности движения и эксплуатации железнодорожного транспорта, в помещения, из которых производится управление сигналами и указанными устройствами, имеют работники железнодорожного транспорта, в случае, если нахождение работников железнодорожного транспорта на указанных объектах предусмотрено их должностными обязанностями. Запрещается доступ посторонних лиц на указанные в настоящем пункте объекты.', 'Доступ на локомотивы, в кабины управления подвижного состава, к устройствам безопасности, в помещения для управления этим устройствами имеют работники железнодорожного транспорта, если это предусмотрено должностными обязанностями. Доступ посторонних лиц запрещен.']","['Кому разрешен доступ на локомотивы?', 'Кто имеет доступ к устройствам, связанным с безопасностью?', 'Кому разрешено находиться в помещениях для управления сигналами и устройствами безопасности?', 'Кому разрешен доступ на важные объекты?', 'Кто имеет доступ в кабины управления состава? ']"
